cluster_id,mesh_size,cell_size,diffusion,diffusion_coeff,diffusion_iters,C_thr,atom_volume,grid_volume,atom_surface,grid_surface,volume_diff,surface_diff,volume_diff_pct,surface_diff_pct,runtime_s,peak_mem_tracemalloc_mb,peak_mem_rss_mb,atom_runtime_s,atom_mem_tracemalloc_mb,atom_mem_rss_mb
0,"(17, 17, 17)","(0.9, 0.9, 0.9)",no_diff,0.0,0,0.6,436.50555163374787,405.02982730871986,337.39821518583136,322.6321622314698,31.47572432502801,14.766052954361555,7.21084169656515,4.376446670362125,0.05804239399731159,3.1861610412597656,247.703125,0.3286805229727179,9.129507064819336,235.1015625
1,"(17, 17, 17)","(0.9, 0.9, 0.9)",no_diff,0.0,0,0.6,46.5776143480526,30.20677719235762,99.04907485572184,75.44738180420231,16.37083715569498,23.601693051519533,35.147435919245275,23.828282178201604,0.05804239399731159,3.1861610412597656,247.703125,0.3286805229727179,9.129507064819336,235.1015625
0,"(17, 17, 17)","(0.9, 0.9, 0.9)",no_diff,0.0,0,0.7,436.50555163374787,384.02692627447385,337.39821518583136,313.0890178774514,52.47862535927402,24.309197308379964,12.022441676367606,7.204898014943856,0.05758702696766704,3.1712255477905273,247.9609375,0.3286805229727179,9.129507064819336,235.1015625
1,"(17, 17, 17)","(0.9, 0.9, 0.9)",no_diff,0.0,0,0.7,46.5776143480526,22.132941646748183,99.04907485572184,62.53462872585334,24.444672701304416,36.5144461298685,52.481590230536234,36.865004729278546,0.05758702696766704,3.1712255477905273,247.9609375,0.3286805229727179,9.129507064819336,235.1015625
0,"(17, 17, 17)","(0.9, 0.9, 0.9)",no_diff,0.0,0,0.8,436.50555163374787,380.91091742937783,337.39821518583136,312.75686018699946,55.59463420437004,24.6413549988319,12.736294875584306,7.303344798448324,0.057948876987211406,3.1684560775756836,248.30078125,0.3286805229727179,9.129507064819336,235.1015625
1,"(17, 17, 17)","(0.9, 0.9, 0.9)",no_diff,0.0,0,0.8,46.5776143480526,22.132941646748183,99.04907485572184,62.53462872585334,24.444672701304416,36.5144461298685,52.481590230536234,36.865004729278546,0.057948876987211406,3.1684560775756836,248.30078125,0.3286805229727179,9.129507064819336,235.1015625
0,"(17, 17, 17)","(0.9, 0.9, 0.9)",no_diff,0.0,0,0.9,436.50555163374787,380.91091742937783,337.39821518583136,312.75686018699946,55.59463420437004,24.6413549988319,12.736294875584306,7.303344798448324,0.05794349894858897,3.1687393188476562,248.64453125,0.3286805229727179,9.129507064819336,235.1015625
1,"(17, 17, 17)","(0.9, 0.9, 0.9)",no_diff,0.0,0,0.9,46.5776143480526,22.132941646748183,99.04907485572184,62.53462872585334,24.444672701304416,36.5144461298685,52.481590230536234,36.865004729278546,0.05794349894858897,3.1687393188476562,248.64453125,0.3286805229727179,9.129507064819336,235.1015625
0,"(15, 15, 15)","(1.0, 1.0, 1.0)",no_diff,0.0,0,0.1,436.50555163374787,488.6427073495991,337.39821518583136,368.0637028694649,52.137155715851236,30.665487683633557,11.94421365792781,9.088811470666403,0.06843676301650703,3.055191993713379,248.89453125,0.3286805229727179,9.129507064819336,235.1015625
0,"(15, 15, 15)","(1.0, 1.0, 1.0)",no_diff,0.0,0,0.2,436.50555163374787,488.6427073495991,337.39821518583136,368.0637028694649,52.137155715851236,30.665487683633557,11.94421365792781,9.088811470666403,0.06757730199024081,3.0552711486816406,249.625,0.3286805229727179,9.129507064819336,235.1015625
